PEP_ID;BBCH;YEAR;DAY
19529;60;1971;108
19528;60;1971;111
19529;65;1971;115
19528;65;1971;116
19526;60;1971;122
19527;60;1971;124
19526;65;1971;125
19527;65;1971;130
19528;60;1972;91
19529;60;1972;94
19527;60;1972;104
19526;60;1972;108
19528;60;1973;94
19529;60;1973;123
19527;60;1973;126
19526;60;1973;126
19525;60;1974;103
19527;60;1974;118
19525;60;1975;110
19527;60;1975;112
19528;60;1976;102
19529;60;1976;119
19525;60;1976;121
19527;60;1976;128
19526;60;1976;129
19528;60;1977;77
19525;60;1977;81
19529;60;1977;87
19527;60;1977;99
19526;60;1977;99
19528;60;1978;100
19529;60;1978;113
19525;60;1978;120
19527;60;1978;125
19528;60;1979;101
19525;60;1979;105
19527;60;1979;111
19529;60;1979;114
19526;60;1979;136
19528;60;1980;97
19525;60;1980;118
19529;60;1980;125
19527;60;1980;128
19526;60;1980;130
19528;11;1981;72
19525;11;1981;83
19529;11;1981;83
19527;11;1981;86
19528;60;1981;90
19528;65;1981;99
19525;60;1981;101
19529;60;1981;104
19525;65;1981;105
19529;65;1981;109
19526;60;1981;114
19527;60;1981;115
19526;65;1981;119
19527;65;1981;121
19528;11;1982;81
19528;60;1982;96
19528;65;1982;100
19529;11;1982;107
19527;11;1982;108
19525;11;1982;111
19526;11;1982;121
19529;60;1982;128
19527;60;1982;130
19526;60;1982;131
19529;65;1982;132
19526;65;1982;133
19525;60;1982;135
19525;65;1982;140
19527;65;1982;140
19528;11;1983;85
19525;11;1983;95
19528;60;1983;95
19529;11;1983;98
19527;11;1983;99
19528;65;1983;100
19525;60;1983;106
19526;11;1983;108
19527;60;1983;109
19525;65;1983;110
19529;60;1983;111
19527;65;1983;115
19529;65;1983;115
19526;60;1983;117
19526;65;1983;120
19528;11;1984;27
19528;65;1984;88
19527;65;1984;99
19526;11;1984;106
19529;65;1984;107
19525;65;1984;108
19526;65;1984;116
19529;60;1984;119
19525;60;1984;131
19528;11;1985;77
19528;60;1985;93
19525;11;1985;94
19528;65;1985;98
19529;11;1985;100
19527;11;1985;100
19526;11;1985;108
19529;60;1985;115
19525;60;1985;115
19529;65;1985;118
19525;65;1985;118
19527;60;1985;135
19526;60;1985;137
19526;65;1985;140
19527;65;1985;140
19528;11;1987;88
19528;60;1987;98
19529;11;1987;104
19528;65;1987;104
19527;11;1987;105
19526;11;1987;118
19529;60;1987;119
19529;65;1987;124
19527;60;1987;125
19526;60;1987;131
19526;65;1987;133
19527;65;1987;135
19529;11;1988;82
19528;11;1988;85
19525;11;1988;85
19528;60;1988;94
19529;60;1988;99
19527;11;1988;101
19528;65;1988;103
19526;11;1988;113
19525;60;1988;114
19525;65;1988;117
19527;60;1988;119
19529;65;1988;120
19527;65;1988;125
19526;60;1988;126
19526;65;1988;129
19529;11;1989;65
19528;11;1989;69
19528;60;1989;73
19528;65;1989;79
19525;11;1989;80
19526;11;1989;91
19529;60;1989;95
19527;11;1989;102
19526;60;1989;102
19526;65;1989;107
19525;60;1989;108
19525;65;1989;110
19527;60;1989;115
19529;65;1989;115
19527;65;1989;125
19526;11;2000;116
19526;60;2000;122
19526;65;2000;127
19529;11;2001;71
19529;60;2001;97
19529;65;2001;102
19526;11;2001;110
19526;60;2001;119
19526;65;2001;124
19529;11;2002;74
19526;11;2002;105
19526;60;2002;115
19526;65;2002;121
19529;11;2003;116
19526;11;2003;122
19529;60;2003;123
19529;65;2003;125
19526;60;2003;131
19526;65;2003;133
19529;11;2004;96
19529;60;2004;116
19529;65;2004;120
19526;11;2004;126
19526;60;2004;136
19526;65;2004;138
19529;11;2005;68
19526;11;2005;115
19526;60;2005;120
19529;60;2005;121
19526;65;2005;125
19529;65;2005;127
19529;11;2006;94
19529;11;2012;93
19529;60;2012;107
19526;11;2012;125
19526;60;2012;135
19526;65;2012;138
19525;11;2013;73
20454;11;2013;97
19525;60;2013;108
19526;11;2013;112
19529;60;2013;114
19525;65;2013;118
19529;65;2013;118
20454;60;2013;121
20454;65;2013;123
19526;60;2013;125
19526;65;2013;128
19528;60;2014;75
19525;11;2014;77
19528;65;2014;78
19527;11;2014;86
19525;60;2014;88
19528;11;2014;93
19527;60;2014;104
19529;60;2014;105
19529;65;2014;111
19526;11;2014;115
19527;65;2014;121
19526;60;2014;128
19526;65;2014;130
19525;11;2015;88
19528;11;2015;91
19528;60;2015;102
19527;11;2015;105
19525;60;2015;106
19526;11;2015;108
19528;65;2015;113
19529;60;2015;114
19525;65;2015;114
19527;60;2015;121
19526;60;2015;121
19529;65;2015;121
19526;65;2015;124
19527;65;2015;128
